YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,NS28,565,365
2024-02,WEEKDAY,22,TRAIN,NS28,801,866
2024-02,WEEKDAY,0,TRAIN,DT10/TE11,100,428
2024-02,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,50,252
2024-02,WEEKDAY,10,TRAIN,EW16/NE3/TE17,25398,35474
2024-02,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,8398,8944
2024-02,WEEKDAY,9,TRAIN,CC14,11486,7065
2024-02,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3423,1533
2024-02,WEEKENDS/HOLIDAY,14,TRAIN,EW27,21237,21425
2024-02,WEEKDAY,14,TRAIN,EW27,33347,37352
2024-02,WEEKDAY,0,TRAIN,NS27/CE2/TE20,83,171
2024-02,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,12,82
2024-02,WEEKDAY,18,TRAIN,DT27,32565,19165
2024-02,WEEKENDS/HOLIDAY,18,TRAIN,DT27,4685,4216
2024-02,WEEKENDS/HOLIDAY,11,TRAIN,NS7,11355,11374
2024-02,WEEKDAY,11,TRAIN,NS7,20421,14129
2024-02,WEEKDAY,16,TRAIN,SW4,2072,3462
2024-02,WEEKENDS/HOLIDAY,16,TRAIN,SW4,1177,1265
2024-02,WEEKDAY,10,TRAIN,CC5,2675,4758
2024-02,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1302,1865
2024-02,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1954,1943
2024-02,WEEKDAY,13,TRAIN,CC23,13998,16871
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,EW33,827,1875
2024-02,WEEKDAY,22,TRAIN,EW33,1319,2449
2024-02,WEEKENDS/HOLIDAY,14,TRAIN,CC21,5671,4674
2024-02,WEEKDAY,14,TRAIN,CC21,11257,9635
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,TE16,3905,3002
2024-02,WEEKDAY,12,TRAIN,TE16,6594,4575
2024-02,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,43991,42762
2024-02,WEEKDAY,18,TRAIN,EW24/NS1,216582,157380
2024-02,WEEKENDS/HOLIDAY,7,TRAIN,NE10,3425,2375
2024-02,WEEKDAY,7,TRAIN,NE10,27734,39180
2024-02,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2074,1710
2024-02,WEEKDAY,8,TRAIN,EW22,16140,45527
2024-02,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1025,461
2024-02,WEEKDAY,7,TRAIN,BP10,13023,2766
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,NE10,6714,6904
2024-02,WEEKDAY,15,TRAIN,NE10,18675,15949
2024-02,WEEKDAY,18,TRAIN,EW22,24423,21715
2024-02,WEEKENDS/HOLIDAY,18,TRAIN,EW22,2451,2975
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,CC25,2699,2292
2024-02,WEEKDAY,15,TRAIN,CC25,6237,4638
2024-02,WEEKDAY,12,TRAIN,CE1/DT16,21907,42256
2024-02,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,12070,28823
2024-02,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2278,874
2024-02,WEEKDAY,10,TRAIN,SW6,4295,1702
2024-02,WEEKENDS/HOLIDAY,17,TRAIN,DT31,4288,4115
2024-02,WEEKDAY,17,TRAIN,DT31,11892,15783
2024-02,WEEKDAY,15,TRAIN,CC14,12359,8278
2024-02,WEEKENDS/HOLIDAY,15,TRAIN,CC14,2656,2967
2024-02,WEEKDAY,14,TRAIN,CC16,7640,7216
2024-02,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3103,2695
2024-02,WEEKENDS/HOLIDAY,10,TRAIN,EW11,10157,7852
2024-02,WEEKDAY,10,TRAIN,EW11,20284,16788
2024-02,WEEKDAY,6,TRAIN,NS24/NE6/CC1,3498,8903
2024-02,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1044,1963
2024-02,WEEKDAY,22,TRAIN,TE15,6406,3053
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,TE15,2896,1399
2024-02,WEEKDAY,0,TRAIN,EW19,118,782
2024-02,WEEKENDS/HOLIDAY,0,TRAIN,EW19,32,299
2024-02,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,10096,7803
