BusStopCode,NumBuses,Time
01012,3,2024-04-15 17:26:49.878897
01013,2,2024-04-15 17:26:49.878897
01019,2,2024-04-15 17:26:49.878897
01029,4,2024-04-15 17:26:49.878897
01039,5,2024-04-15 17:26:49.878897
01059,0,2024-04-15 17:26:49.878897
01109,0,2024-04-15 17:26:49.878897
01112,4,2024-04-15 17:26:49.878897
01113,2,2024-04-15 17:26:49.878897
01119,3,2024-04-15 17:26:49.878897
01121,4,2024-04-15 17:26:49.878897
01129,2,2024-04-15 17:26:49.878897
01139,6,2024-04-15 17:26:49.878897
01211,3,2024-04-15 17:26:49.878897
01219,2,2024-04-15 17:26:49.878897
01229,2,2024-04-15 17:26:49.878897
01231,1,2024-04-15 17:26:49.878897
01239,0,2024-04-15 17:26:49.878897
01311,5,2024-04-15 17:26:49.878897
01319,3,2024-04-15 17:26:49.878897
01329,5,2024-04-15 17:26:49.878897
01339,6,2024-04-15 17:26:49.878897
01341,4,2024-04-15 17:26:49.878897
01349,0,2024-04-15 17:26:49.878897
01411,1,2024-04-15 17:26:49.878897
01419,1,2024-04-15 17:26:49.878897
01421,2,2024-04-15 17:26:49.878897
01429,1,2024-04-15 17:26:49.878897
01511,1,2024-04-15 17:26:49.878897
01519,1,2024-04-15 17:26:49.878897
01521,2,2024-04-15 17:26:49.878897
01529,0,2024-04-15 17:26:49.878897
01541,1,2024-04-15 17:26:49.878897
01549,0,2024-04-15 17:26:49.878897
01559,0,2024-04-15 17:26:49.878897
01611,2,2024-04-15 17:26:49.878897
01619,1,2024-04-15 17:26:49.878897
01621,1,2024-04-15 17:26:49.878897
01629,2,2024-04-15 17:26:49.878897
01631,0,2024-04-15 17:26:49.878897
01639,1,2024-04-15 17:26:49.878897
02029,2,2024-04-15 17:26:49.878897
02049,2,2024-04-15 17:26:49.878897
02051,5,2024-04-15 17:26:49.878897
02061,4,2024-04-15 17:26:49.878897
02089,1,2024-04-15 17:26:49.878897
02099,1,2024-04-15 17:26:49.878897
02101,2,2024-04-15 17:26:49.878897
02111,6,2024-04-15 17:26:49.878897
02119,0,2024-04-15 17:26:49.878897
02141,0,2024-04-15 17:26:49.878897
02149,0,2024-04-15 17:26:49.878897
02151,0,2024-04-15 17:26:49.878897
02159,1,2024-04-15 17:26:49.878897
02161,3,2024-04-15 17:26:49.878897
02169,1,2024-04-15 17:26:49.878897
02171,3,2024-04-15 17:26:49.878897
02181,1,2024-04-15 17:26:49.878897
03011,3,2024-04-15 17:26:49.878897
03019,3,2024-04-15 17:26:49.878897
03021,0,2024-04-15 17:26:49.878897
03031,1,2024-04-15 17:26:49.878897
03041,1,2024-04-15 17:26:49.878897
03059,3,2024-04-15 17:26:49.878897
03071,0,2024-04-15 17:26:49.878897
03111,1,2024-04-15 17:26:49.878897
03129,5,2024-04-15 17:26:49.878897
03151,1,2024-04-15 17:26:49.878897
03217,2,2024-04-15 17:26:49.878897
03218,2,2024-04-15 17:26:49.878897
03222,4,2024-04-15 17:26:49.878897
03223,3,2024-04-15 17:26:49.878897
03239,3,2024-04-15 17:26:49.878897
03241,0,2024-04-15 17:26:49.878897
03331,0,2024-04-15 17:26:49.878897
03339,0,2024-04-15 17:26:49.878897
03341,0,2024-04-15 17:26:49.878897
03349,0,2024-04-15 17:26:49.878897
03361,0,2024-04-15 17:26:49.878897
03369,0,2024-04-15 17:26:49.878897
03371,0,2024-04-15 17:26:49.878897
03381,2,2024-04-15 17:26:49.878897
03391,3,2024-04-15 17:26:49.878897
03411,0,2024-04-15 17:26:49.878897
03419,0,2024-04-15 17:26:49.878897
03421,0,2024-04-15 17:26:49.878897
03501,3,2024-04-15 17:26:49.878897
03509,2,2024-04-15 17:26:49.878897
03511,3,2024-04-15 17:26:49.878897
03519,1,2024-04-15 17:26:49.878897
03529,0,2024-04-15 17:26:49.878897
03539,0,2024-04-15 17:26:49.878897
03549,1,2024-04-15 17:26:49.878897
03579,0,2024-04-15 17:26:49.878897
04019,0,2024-04-15 17:26:49.878897
