YearMonth,BusStopCode,WeekdayTapIn,WeekendTapIn,WeekdayTapOut,WeekendTapOut
2024-03,1012,20227.0,11360.0,26168.0,15912.0
2024-03,1013,16966.0,10564.0,11889.0,7256.0
2024-03,1019,11284.0,6551.0,18340.0,10647.0
2024-03,1029,24141.0,14122.0,16454.0,9100.0
2024-03,1039,36221.0,26242.0,33428.0,23375.0
2024-03,1059,8667.0,5201.0,48049.0,27769.0
2024-03,1109,1787.0,754.0,2128.0,1328.0
2024-03,1112,118100.0,76293.0,64075.0,42489.0
2024-03,1113,70517.0,43649.0,33782.0,21903.0
2024-03,1119,31368.0,22418.0,35116.0,25416.0
2024-03,1121,36637.0,23423.0,28334.0,16651.0
2024-03,1129,7896.0,5474.0,16904.0,11605.0
2024-03,1139,23716.0,14566.0,32323.0,16634.0
2024-03,1211,40086.0,22447.0,37272.0,22664.0
2024-03,1219,18406.0,10384.0,18885.0,10113.0
2024-03,1229,26607.0,18561.0,21147.0,15463.0
2024-03,1231,5159.0,2529.0,2084.0,604.0
2024-03,1239,9023.0,4580.0,12282.0,6235.0
2024-03,1311,86943.0,41002.0,44900.0,22864.0
2024-03,1319,22264.0,10250.0,48469.0,19828.0
2024-03,1329,40966.0,22851.0,40088.0,21557.0
2024-03,1339,6355.0,3789.0,12673.0,6110.0
2024-03,1341,3139.0,1480.0,4168.0,1836.0
2024-03,1349,884.0,367.0,399.0,227.0
2024-03,1411,8696.0,4566.0,20289.0,9473.0
2024-03,1419,4104.0,2209.0,4586.0,2718.0
2024-03,1421,14584.0,8435.0,13386.0,6835.0
2024-03,1429,1835.0,719.0,2255.0,1490.0
2024-03,1511,11361.0,3787.0,7860.0,3484.0
2024-03,1519,9030.0,2870.0,9193.0,1644.0
2024-03,1521,8573.0,5295.0,14852.0,7308.0
2024-03,1529,11314.0,5377.0,6202.0,2883.0
2024-03,1541,4548.0,2098.0,30186.0,12752.0
2024-03,1549,5569.0,2366.0,2094.0,1454.0
2024-03,1559,8246.0,5022.0,8098.0,4341.0
2024-03,1611,8973.0,4331.0,9703.0,3449.0
2024-03,1619,3484.0,1768.0,6964.0,3909.0
2024-03,1621,11245.0,4874.0,8733.0,3271.0
2024-03,1629,5511.0,1696.0,6659.0,2378.0
2024-03,1631,4378.0,2138.0,728.0,383.0
2024-03,1639,656.0,480.0,3459.0,1823.0
2024-03,2029,3261.0,1977.0,13779.0,9618.0
2024-03,2049,33963.0,20971.0,32042.0,17216.0
2024-03,2051,10180.0,7785.0,3725.0,3058.0
2024-03,2061,27284.0,22251.0,10447.0,8891.0
2024-03,2089,2881.0,3390.0,20437.0,13839.0
2024-03,2099,34.0,18.0,43.0,368.0
2024-03,2101,2642.0,2262.0,2.0,310.0
2024-03,2111,8335.0,4532.0,10387.0,4061.0
2024-03,2119,7193.0,2861.0,8471.0,3035.0
2024-03,2141,1062.0,2341.0,50.0,578.0
2024-03,2149,1803.0,1027.0,9082.0,3784.0
2024-03,2151,32393.0,27807.0,41922.0,33970.0
2024-03,2159,2024.0,1487.0,8313.0,4942.0
2024-03,2161,17409.0,7595.0,5776.0,2773.0
2024-03,2169,382.0,643.0,5677.0,2446.0
2024-03,2171,7008.0,4374.0,7115.0,4895.0
2024-03,2181,3762.0,1538.0,8225.0,4338.0
2024-03,3011,56883.0,19362.0,18179.0,7174.0
2024-03,3019,16736.0,5068.0,59221.0,10345.0
2024-03,3021,12037.0,3464.0,10949.0,1465.0
2024-03,3031,40429.0,6473.0,19222.0,2502.0
2024-03,3041,14065.0,2633.0,3776.0,301.0
2024-03,3059,24704.0,4396.0,64462.0,11665.0
2024-03,3071,22167.0,4797.0,19146.0,2745.0
2024-03,3111,47853.0,7243.0,34987.0,3477.0
2024-03,3129,45103.0,8332.0,84453.0,14366.0
2024-03,3151,23920.0,4669.0,9783.0,1484.0
2024-03,3217,11474.0,2630.0,9864.0,2895.0
2024-03,3218,7766.0,1544.0,32838.0,9601.0
2024-03,3222,29337.0,8924.0,13607.0,3528.0
2024-03,3223,21141.0,5195.0,9631.0,2360.0
2024-03,3239,4007.0,2040.0,157.0,85.0
2024-03,3241,1446.0,,7374.0,
2024-03,3331,38.0,12.0,13.0,28.0
2024-03,3339,12.0,7.0,52.0,39.0
2024-03,3341,84.0,34.0,293.0,182.0
2024-03,3349,106.0,158.0,39.0,34.0
2024-03,3361,159.0,117.0,64.0,76.0
2024-03,3369,72.0,97.0,204.0,256.0
2024-03,3371,150.0,192.0,669.0,755.0
2024-03,3381,10165.0,5587.0,7144.0,1083.0
2024-03,3391,3716.0,1293.0,8659.0,1040.0
2024-03,3411,88.0,99.0,2461.0,1694.0
2024-03,3419,2184.0,1416.0,249.0,189.0
2024-03,3421,4328.0,2869.0,2650.0,1711.0
2024-03,3501,17666.0,12700.0,8083.0,5818.0
2024-03,3509,14901.0,11657.0,32679.0,27861.0
2024-03,3511,16598.0,13336.0,12500.0,8193.0
2024-03,3519,6385.0,4747.0,3762.0,2716.0
2024-03,3529,14362.0,1832.0,9600.0,2249.0
2024-03,3539,2153.0,340.0,2553.0,861.0
2024-03,3549,5.0,6.0,237.0,171.0
2024-03,3579,48.0,18.0,1138.0,731.0
2024-03,4019,10011.0,5031.0,15335.0,6636.0
2024-03,4029,12051.0,6084.0,6203.0,3120.0
2024-03,4111,26697.0,16688.0,34500.0,20045.0
2024-03,4121,38133.0,15999.0,26798.0,13046.0
2024-03,4142,21489.0,14567.0,21420.0,12053.0
2024-03,4143,15818.0,9797.0,6938.0,2998.0
2024-03,4149,10302.0,5092.0,22592.0,14867.0
2024-03,4151,10188.0,5467.0,9339.0,5701.0
2024-03,4159,7377.0,3813.0,13818.0,7476.0
2024-03,4167,44289.0,20633.0,31060.0,20511.0
2024-03,4168,25203.0,15782.0,21166.0,15468.0
2024-03,4179,21732.0,10948.0,26806.0,14629.0
2024-03,4211,4385.0,2519.0,2648.0,1898.0
2024-03,4219,758.0,557.0,3051.0,1827.0
2024-03,4222,95221.0,46500.0,51099.0,26935.0
2024-03,4223,23870.0,14491.0,21064.0,9026.0
2024-03,4229,7186.0,3015.0,10642.0,5934.0
2024-03,4239,11536.0,6482.0,30592.0,14876.0
2024-03,4249,21856.0,11458.0,27151.0,11511.0
2024-03,4251,4860.0,1565.0,1581.0,1017.0
2024-03,4311,4782.0,4386.0,2240.0,2255.0
2024-03,4321,13632.0,6792.0,11203.0,5609.0
2024-03,4329,7686.0,3829.0,8653.0,5174.0
2024-03,4331,13941.0,5361.0,2422.0,1249.0
2024-03,4339,2831.0,1536.0,16334.0,5860.0
2024-03,5012,13545.0,8947.0,20098.0,13567.0
2024-03,5013,90440.0,57766.0,120627.0,62498.0
2024-03,5019,12409.0,6032.0,12779.0,8021.0
