YearMonth,TrainStationCode,WeekdayTapIn,WeekendTapIn,WeekdayTapOut,WeekendTapOut
2024-03,BP10,68069,25791,69931,29162
2024-03,BP11,81112,30389,60865,23934
2024-03,BP12,68167,23199,46384,14067
2024-03,BP13,28451,11592,17753,6494
2024-03,BP2,67094,25814,50485,20953
2024-03,BP3,96395,38335,79703,32314
2024-03,BP4,61251,15482,59730,14380
2024-03,BP5,44377,18380,38512,16259
2024-03,BP7,22339,5177,24435,8536
2024-03,BP8,39175,13183,38567,13431
2024-03,BP9,44144,20795,43544,17631
2024-03,CC11,420784,118323,436436,120570
2024-03,CC12,155296,56010,139251,52134
2024-03,CC14,174165,56945,167019,55691
2024-03,CC16,181731,59957,174834,59529
2024-03,CC2,129221,50011,139880,52674
2024-03,CC20,113163,47419,116316,48494
2024-03,CC21,199529,99572,210935,100444
2024-03,CC23,371223,39465,367343,39450
2024-03,CC24,524253,81750,509989,79607
2024-03,CC25,146267,49499,137997,45777
2024-03,CC26,113092,28569,109571,28776
2024-03,CC27,153648,22505,158601,24187
2024-03,CC28,52917,26067,61431,28033
2024-03,CC3,166344,115164,153994,109189
2024-03,CC5,101833,53557,101375,50026
2024-03,CC6,313280,267504,325602,277832
2024-03,CC7,158252,74989,160370,71311
2024-03,CC8,201804,85390,186975,81735
2024-03,CG2,423562,268092,395543,255079
2024-03,DT13,226329,113874,232687,119842
2024-03,DT17,447805,46763,469150,50362
2024-03,DT18,351810,53027,375304,61995
2024-03,DT2,67369,19897,57090,15011
2024-03,DT20,123797,52570,137695,60362
2024-03,DT21,169629,70712,171487,72218
2024-03,DT22,182570,122371,195512,129807
2024-03,DT23,108671,32748,112014,34518
2024-03,DT24,119666,42549,114422,42433
2024-03,DT25,100057,37994,104233,38238
2024-03,DT27,200758,69430,198541,69549
2024-03,DT28,244533,90529,234472,88384
2024-03,DT29,166662,61507,151393,57119
2024-03,DT3,167650,72930,150349,64837
2024-03,DT30,178065,67654,168755,65163
2024-03,DT31,176723,69796,186252,72228
2024-03,DT33,394261,139585,361800,128729
2024-03,DT34,120584,38485,109037,38218
2024-03,DT5,280343,146129,283213,140953
2024-03,DT6,156083,54721,139561,51136
2024-03,DT7,85857,31649,101035,35382
2024-03,DT8,115523,30038,110744,31250
2024-03,EW1,612605,260099,584115,251101
2024-03,EW10,251011,144718,251121,143087
2024-03,EW11,378010,177737,395843,187306
2024-03,EW15,847777,179409,880691,188276
2024-03,EW17,515830,215949,540174,227664
2024-03,EW18,389508,143503,403496,148842
2024-03,EW19,361118,139548,333639,136284
2024-03,EW20,281422,104833,281305,105682
2024-03,EW22,182621,48719,188782,52383
2024-03,EW23,952632,406776,997978,416949
2024-03,EW25,224633,96308,206331,96609
2024-03,EW26,724199,297683,643058,268016
2024-03,EW27,930036,417040,1089436,470885
2024-03,EW28,652425,255078,503547,210308
2024-03,EW29,346026,112635,355900,120567
2024-03,EW3,357972,153049,367817,156820
2024-03,EW30,95256,27722,83941,24463
2024-03,EW31,106207,36482,94703,29974
2024-03,EW32,107913,44299,104374,46301
2024-03,EW33,97923,45293,91741,36907
2024-03,EW4,337269,142810,308705,134609
2024-03,EW5,672327,311964,673615,318043
2024-03,EW6,224622,102122,259403,111819
2024-03,EW7,310767,143104,354699,160143
2024-03,EW9,459618,237851,462475,243605
2024-03,NE10,339739,135055,341362,132231
2024-03,NE11,277365,120743,284338,121389
2024-03,NE13,450766,219684,455176,216979
2024-03,NE14,651658,277056,630521,266660
2024-03,NE15,428088,187726,424080,187492
2024-03,NE5,286191,118143,304024,129841
2024-03,NE8,524985,368233,573744,388230
2024-03,NE9,491620,202682,441168,179051
2024-03,NS10,893720,355040,801216,328924
2024-03,NS11,825229,365132,832726,365110
2024-03,NS12,342620,153500,312875,143966
2024-03,NS13,1086141,478782,1151040,495469
2024-03,NS14,712626,292877,636033,262410
2024-03,NS15,416055,121929,379349,109313
2024-03,NS16,897359,390874,985186,420507
2024-03,NS18,308970,125381,280762,118298
2024-03,NS19,738890,322773,771262,334450
2024-03,NS2,568942,235555,596967,246106
2024-03,NS20,815989,287248,806069,282041
2024-03,NS23,607913,336537,640900,347402
2024-03,NS28,39948,35317,38408,33325
2024-03,NS3,424334,180647,404652,178901
2024-03,NS5,629313,249605,597155,247501
2024-03,NS7,529842,313165,502770,258838
2024-03,NS8,456308,180544,364893,148252
2024-03,PE1,72934,32458,71628,32220
2024-03,PE2,113803,47140,107992,45601
2024-03,PE3,120045,54751,125416,56089
2024-03,PE4,34829,17309,32004,17112
2024-03,PE5,121452,48395,109113,43917
2024-03,PE6,139799,63384,135999,60265
2024-03,PE7,96089,43514,95502,41606
2024-03,PW1,27165,20090,34525,24933
2024-03,PW3,34715,16805,31180,15971
2024-03,PW4,99465,55322,95835,52901
2024-03,PW5,58941,37386,62552,38203
2024-03,PW6,34419,14055,28843,11701
2024-03,PW7,57086,25586,63218,27861
2024-03,SE1,90717,36872,89960,36606
2024-03,SE2,112725,50168,106022,48339
2024-03,SE3,65079,26941,61944,26598
2024-03,SE4,70021,32833,68898,31790
2024-03,SE5,57271,23515,56998,23350
2024-03,SW1,58762,20136,60048,20001
2024-03,SW2,85153,45760,79390,42222
2024-03,SW3,50227,19700,47084,18973
2024-03,SW4,54398,24603,53508,24242
2024-03,SW5,162923,75610,152022,73400
2024-03,SW6,82004,31499,76499,29439
2024-03,SW7,54394,23364,49361,21462
2024-03,SW8,44846,17948,44217,17102
2024-03,TE1,95261,34139,78055,29686
2024-03,TE12,91489,33085,92674,31013
2024-03,TE13,69722,29210,74001,30642
2024-03,TE15,140556,68159,151510,71342
2024-03,TE16,133916,65125,128279,62317
2024-03,TE18,168020,88419,160878,81800
2024-03,TE19,187049,25134,189717,23988
2024-03,TE22,43349,43464,68668,63924
2024-03,TE3,218675,72169,200005,65821
2024-03,TE4,97971,43453,93708,40199
2024-03,TE5,90006,38346,91048,38640
2024-03,TE6,211542,87359,199602,85391
2024-03,TE7,130011,51136,128570,50397
2024-03,TE8,177944,98287,173264,89916
