LinkID,SpeedBand,Time
103000000,8,2024-04-15 17:11:29.799857
103000010,3,2024-04-15 17:11:29.799857
103000011,2,2024-04-15 17:11:29.799857
103000014,2,2024-04-15 17:11:29.799857
103000015,4,2024-04-15 17:11:29.799857
103000018,8,2024-04-15 17:11:29.799857
103000019,8,2024-04-15 17:11:29.799857
103000022,3,2024-04-15 17:11:29.799857
103000023,3,2024-04-15 17:11:29.799857
103000026,3,2024-04-15 17:11:29.799857
103000027,8,2024-04-15 17:11:29.799857
103000030,4,2024-04-15 17:11:29.799857
103000031,4,2024-04-15 17:11:29.799857
103000034,1,2024-04-15 17:11:29.799857
103000035,8,2024-04-15 17:11:29.799857
103000036,8,2024-04-15 17:11:29.799857
103000040,2,2024-04-15 17:11:29.799857
103000044,2,2024-04-15 17:11:29.799857
103000050,2,2024-04-15 17:11:29.799857
103000051,3,2024-04-15 17:11:29.799857
103000054,2,2024-04-15 17:11:29.799857
103000055,2,2024-04-15 17:11:29.799857
103000056,8,2024-04-15 17:11:29.799857
103000062,5,2024-04-15 17:11:29.799857
103000063,8,2024-04-15 17:11:29.799857
103000066,4,2024-04-15 17:11:29.799857
103000067,4,2024-04-15 17:11:29.799857
103000068,4,2024-04-15 17:11:29.799857
103000072,6,2024-04-15 17:11:29.799857
103000078,8,2024-04-15 17:11:29.799857
103000079,7,2024-04-15 17:11:29.799857
103000080,8,2024-04-15 17:11:29.799857
103000086,4,2024-04-15 17:11:29.799857
103000087,4,2024-04-15 17:11:29.799857
103000090,4,2024-04-15 17:11:29.799857
103000091,4,2024-04-15 17:11:29.799857
103000094,3,2024-04-15 17:11:29.799857
103000095,6,2024-04-15 17:11:29.799857
103000098,3,2024-04-15 17:11:29.799857
103000099,3,2024-04-15 17:11:29.799857
103000106,2,2024-04-15 17:11:29.799857
103000107,8,2024-04-15 17:11:29.799857
103000110,5,2024-04-15 17:11:29.799857
103000111,3,2024-04-15 17:11:29.799857
103000114,4,2024-04-15 17:11:29.799857
103000115,3,2024-04-15 17:11:29.799857
103000118,4,2024-04-15 17:11:29.799857
103000119,5,2024-04-15 17:11:29.799857
103000122,7,2024-04-15 17:11:29.799857
103000123,7,2024-04-15 17:11:29.799857
103000124,3,2024-04-15 17:11:29.799857
103000128,3,2024-04-15 17:11:29.799857
103000134,5,2024-04-15 17:11:29.799857
103000135,3,2024-04-15 17:11:29.799857
103000138,8,2024-04-15 17:11:29.799857
103000139,8,2024-04-15 17:11:29.799857
103000142,4,2024-04-15 17:11:29.799857
103000143,3,2024-04-15 17:11:29.799857
103000146,3,2024-04-15 17:11:29.799857
103000147,5,2024-04-15 17:11:29.799857
103000148,4,2024-04-15 17:11:29.799857
103000152,3,2024-04-15 17:11:29.799857
103000156,3,2024-04-15 17:11:29.799857
103000162,4,2024-04-15 17:11:29.799857
103000163,8,2024-04-15 17:11:29.799857
103000166,6,2024-04-15 17:11:29.799857
103000167,3,2024-04-15 17:11:29.799857
103000170,6,2024-04-15 17:11:29.799857
103000171,4,2024-04-15 17:11:29.799857
103000174,8,2024-04-15 17:11:29.799857
103000175,8,2024-04-15 17:11:29.799857
103000176,4,2024-04-15 17:11:29.799857
103000182,3,2024-04-15 17:11:29.799857
103000183,3,2024-04-15 17:11:29.799857
103000186,4,2024-04-15 17:11:29.799857
103000187,5,2024-04-15 17:11:29.799857
103000190,3,2024-04-15 17:11:29.799857
103000191,2,2024-04-15 17:11:29.799857
103000194,3,2024-04-15 17:11:29.799857
103000195,3,2024-04-15 17:11:29.799857
103000198,4,2024-04-15 17:11:29.799857
103000199,2,2024-04-15 17:11:29.799857
