,NumBuses,BusStopCode,Time
0,3,1012,2024-04-15T17:26:49.878897
1,2,1013,2024-04-15T17:26:49.878897
2,2,1019,2024-04-15T17:26:49.878897
3,4,1029,2024-04-15T17:26:49.878897
4,5,1039,2024-04-15T17:26:49.878897
5,0,1059,2024-04-15T17:26:49.878897
6,0,1109,2024-04-15T17:26:49.878897
7,4,1112,2024-04-15T17:26:49.878897
8,2,1113,2024-04-15T17:26:49.878897
9,3,1119,2024-04-15T17:26:49.878897
10,4,1121,2024-04-15T17:26:49.878897
11,2,1129,2024-04-15T17:26:49.878897
12,6,1139,2024-04-15T17:26:49.878897
13,3,1211,2024-04-15T17:26:49.878897
14,2,1219,2024-04-15T17:26:49.878897
15,2,1229,2024-04-15T17:26:49.878897
16,1,1231,2024-04-15T17:26:49.878897
17,0,1239,2024-04-15T17:26:49.878897
18,5,1311,2024-04-15T17:26:49.878897
19,3,1319,2024-04-15T17:26:49.878897
20,5,1329,2024-04-15T17:26:49.878897
21,6,1339,2024-04-15T17:26:49.878897
22,4,1341,2024-04-15T17:26:49.878897
23,0,1349,2024-04-15T17:26:49.878897
24,1,1411,2024-04-15T17:26:49.878897
25,1,1419,2024-04-15T17:26:49.878897
26,2,1421,2024-04-15T17:26:49.878897
27,1,1429,2024-04-15T17:26:49.878897
28,1,1511,2024-04-15T17:26:49.878897
29,1,1519,2024-04-15T17:26:49.878897
30,2,1521,2024-04-15T17:26:49.878897
31,0,1529,2024-04-15T17:26:49.878897
32,1,1541,2024-04-15T17:26:49.878897
33,0,1549,2024-04-15T17:26:49.878897
34,0,1559,2024-04-15T17:26:49.878897
35,2,1611,2024-04-15T17:26:49.878897
36,1,1619,2024-04-15T17:26:49.878897
37,1,1621,2024-04-15T17:26:49.878897
38,2,1629,2024-04-15T17:26:49.878897
39,0,1631,2024-04-15T17:26:49.878897
40,1,1639,2024-04-15T17:26:49.878897
41,2,2029,2024-04-15T17:26:49.878897
42,2,2049,2024-04-15T17:26:49.878897
43,5,2051,2024-04-15T17:26:49.878897
44,4,2061,2024-04-15T17:26:49.878897
45,1,2089,2024-04-15T17:26:49.878897
46,1,2099,2024-04-15T17:26:49.878897
47,2,2101,2024-04-15T17:26:49.878897
48,6,2111,2024-04-15T17:26:49.878897
49,0,2119,2024-04-15T17:26:49.878897
50,0,2141,2024-04-15T17:26:49.878897
51,0,2149,2024-04-15T17:26:49.878897
52,0,2151,2024-04-15T17:26:49.878897
53,1,2159,2024-04-15T17:26:49.878897
54,3,2161,2024-04-15T17:26:49.878897
