,WeekendTapIn,YearMonth,WeekendTapOut,BusStopCode,WeekdayTapIn,WeekdayTapOut
0,11360.0,2024-03,15912.0,1012,20227.0,26168.0
1,10564.0,2024-03,7256.0,1013,16966.0,11889.0
2,6551.0,2024-03,10647.0,1019,11284.0,18340.0
3,14122.0,2024-03,9100.0,1029,24141.0,16454.0
4,26242.0,2024-03,23375.0,1039,36221.0,33428.0
5,5201.0,2024-03,27769.0,1059,8667.0,48049.0
6,754.0,2024-03,1328.0,1109,1787.0,2128.0
7,76293.0,2024-03,42489.0,1112,118100.0,64075.0
8,43649.0,2024-03,21903.0,1113,70517.0,33782.0
9,22418.0,2024-03,25416.0,1119,31368.0,35116.0
10,23423.0,2024-03,16651.0,1121,36637.0,28334.0
11,5474.0,2024-03,11605.0,1129,7896.0,16904.0
12,14566.0,2024-03,16634.0,1139,23716.0,32323.0
13,22447.0,2024-03,22664.0,1211,40086.0,37272.0
14,10384.0,2024-03,10113.0,1219,18406.0,18885.0
15,18561.0,2024-03,15463.0,1229,26607.0,21147.0
16,2529.0,2024-03,604.0,1231,5159.0,2084.0
17,4580.0,2024-03,6235.0,1239,9023.0,12282.0
18,41002.0,2024-03,22864.0,1311,86943.0,44900.0
19,10250.0,2024-03,19828.0,1319,22264.0,48469.0
20,22851.0,2024-03,21557.0,1329,40966.0,40088.0
21,3789.0,2024-03,6110.0,1339,6355.0,12673.0
22,1480.0,2024-03,1836.0,1341,3139.0,4168.0
23,367.0,2024-03,227.0,1349,884.0,399.0
24,4566.0,2024-03,9473.0,1411,8696.0,20289.0
25,2209.0,2024-03,2718.0,1419,4104.0,4586.0
26,8435.0,2024-03,6835.0,1421,14584.0,13386.0
27,719.0,2024-03,1490.0,1429,1835.0,2255.0
28,3787.0,2024-03,3484.0,1511,11361.0,7860.0
29,2870.0,2024-03,1644.0,1519,9030.0,9193.0
30,5295.0,2024-03,7308.0,1521,8573.0,14852.0
31,5377.0,2024-03,2883.0,1529,11314.0,6202.0
32,2098.0,2024-03,12752.0,1541,4548.0,30186.0
33,2366.0,2024-03,1454.0,1549,5569.0,2094.0
34,5022.0,2024-03,4341.0,1559,8246.0,8098.0
35,4331.0,2024-03,3449.0,1611,8973.0,9703.0
36,1768.0,2024-03,3909.0,1619,3484.0,6964.0
37,4874.0,2024-03,3271.0,1621,11245.0,8733.0
38,1696.0,2024-03,2378.0,1629,5511.0,6659.0
39,2138.0,2024-03,383.0,1631,4378.0,728.0
40,480.0,2024-03,1823.0,1639,656.0,3459.0
41,1977.0,2024-03,9618.0,2029,3261.0,13779.0
42,20971.0,2024-03,17216.0,2049,33963.0,32042.0
43,7785.0,2024-03,3058.0,2051,10180.0,3725.0
44,22251.0,2024-03,8891.0,2061,27284.0,10447.0
45,3390.0,2024-03,13839.0,2089,2881.0,20437.0
46,18.0,2024-03,368.0,2099,34.0,43.0
47,2262.0,2024-03,310.0,2101,2642.0,2.0
48,4532.0,2024-03,4061.0,2111,8335.0,10387.0
49,2861.0,2024-03,3035.0,2119,7193.0,8471.0
50,2341.0,2024-03,578.0,2141,1062.0,50.0
51,1027.0,2024-03,3784.0,2149,1803.0,9082.0
52,27807.0,2024-03,33970.0,2151,32393.0,41922.0
53,1487.0,2024-03,4942.0,2159,2024.0,8313.0
54,7595.0,2024-03,2773.0,2161,17409.0,5776.0
55,643.0,2024-03,2446.0,2169,382.0,5677.0
56,4374.0,2024-03,4895.0,2171,7008.0,7115.0
57,1538.0,2024-03,4338.0,2181,3762.0,8225.0
58,19362.0,2024-03,7174.0,3011,56883.0,18179.0
59,5068.0,2024-03,10345.0,3019,16736.0,59221.0
60,3464.0,2024-03,1465.0,3021,12037.0,10949.0
61,6473.0,2024-03,2502.0,3031,40429.0,19222.0
62,2633.0,2024-03,301.0,3041,14065.0,3776.0
63,4396.0,2024-03,11665.0,3059,24704.0,64462.0
64,4797.0,2024-03,2745.0,3071,22167.0,19146.0
65,7243.0,2024-03,3477.0,3111,47853.0,34987.0
66,8332.0,2024-03,14366.0,3129,45103.0,84453.0
67,4669.0,2024-03,1484.0,3151,23920.0,9783.0
68,2630.0,2024-03,2895.0,3217,11474.0,9864.0
69,1544.0,2024-03,9601.0,3218,7766.0,32838.0
70,8924.0,2024-03,3528.0,3222,29337.0,13607.0
71,5195.0,2024-03,2360.0,3223,21141.0,9631.0
72,2040.0,2024-03,85.0,3239,4007.0,157.0
73,,2024-03,,3241,1446.0,7374.0
74,12.0,2024-03,28.0,3331,38.0,13.0
75,7.0,2024-03,39.0,3339,12.0,52.0
76,34.0,2024-03,182.0,3341,84.0,293.0
77,158.0,2024-03,34.0,3349,106.0,39.0
78,117.0,2024-03,76.0,3361,159.0,64.0
79,97.0,2024-03,256.0,3369,72.0,204.0
80,192.0,2024-03,755.0,3371,150.0,669.0
81,5587.0,2024-03,1083.0,3381,10165.0,7144.0
82,1293.0,2024-03,1040.0,3391,3716.0,8659.0
83,99.0,2024-03,1694.0,3411,88.0,2461.0
84,1416.0,2024-03,189.0,3419,2184.0,249.0
85,2869.0,2024-03,1711.0,3421,4328.0,2650.0
86,12700.0,2024-03,5818.0,3501,17666.0,8083.0
87,11657.0,2024-03,27861.0,3509,14901.0,32679.0
88,13336.0,2024-03,8193.0,3511,16598.0,12500.0
89,4747.0,2024-03,2716.0,3519,6385.0,3762.0
90,1832.0,2024-03,2249.0,3529,14362.0,9600.0
