,Description,RoadName,Longitude,Latitude,BusStopCode,LinkID
0,Hotel Grand Pacific,Victoria St,103.85253591654006,1.29684825487647,1012,103007300
1,St. Joseph's Ch,Victoria St,103.8532247463225,1.29770970610083,1013,103090790
2,Bras Basah Cplx,Victoria St,103.85302201172507,1.29698951191332,1019,103066210
3,Opp Natl Lib,Nth Bridge Rd,103.85441422464268,1.2966729849642,1029,103072708
4,Bugis Cube,Nth Bridge Rd,103.85549139837408,1.29820784139683,1039,103072500
5,Bugis Stn Exit B,Victoria St,103.85611040457584,1.30075679526626,1059,103072586
6,Queen St Ter,Queen St,103.85650372998224,1.30358577565355,1109,103010416
7,Opp Bugis Stn Exit C,Victoria St,103.85520027125814,1.30009212839081,1112,103114622
8,Bugis Stn Exit A,Victoria St,103.8561140106393,1.30117297541547,1113,103072586
9,Aft Bugis Stn Exit C,Victoria St,103.85512934079571,1.2996041093804,1119,103114622
10,Stamford Pr Sch,Victoria St,103.85867999243207,1.30393809691048,1121,103074155
11,Opp Stamford Pr Sch,Victoria St,103.85864530718491,1.30350269187301,1129,103114586
12,Bugis Stn/Parkview Sq,Nth Bridge Rd,103.857160806659,1.30033057855542,1139,104002100
13,Opp Blk 461,Victoria St,103.8605449516032,1.30551803523268,1211,103057447
14,Blk 461,Victoria St,103.86072019914616,1.30526598535719,1219,103057447
15,Bef Sultan Mque,Nth Bridge Rd,103.85963089198265,1.30337552638813,1229,103071212
16,Opp Textile Ctr,Jln Sultan,103.8610830559663,1.3032499999752,1231,103001014
17,Sultan Plaza,Jln Sultan,103.86161817611134,1.30291236608351,1239,103077830
18,Lavender Stn Exit B,Kallang Rd,103.86219695240972,1.3070916463394,1311,103072130
19,Lavender Stn Exit A/ICA,Kallang Rd,103.86325596123476,1.30757426746418,1319,103072607
20,Blk 8,Nth Bridge Rd,103.86363028484124,1.30495670239172,1329,103090220
21,Bef Crawford Bridge,Crawford St,103.8642627465441,1.30774601733202,1339,108001774
22,Southbank,Crawford St,103.86452527798744,1.30647555600578,1341,103087382
23,Opp Blk 4,Crawford St,103.86543994417885,1.30568635716829,1349,103086403
24,Opp St. John HQ,Beach Rd,103.86295598167332,1.30211332865049,1411,103086686
25,St. John HQ,Beach Rd,103.86326333301204,1.3020199999911,1419,103086686
26,Opp Golden Mile Cplx,Beach Rd,103.8648388889864,1.30338444400173,1421,103109015
27,Golden Mile Cplx,Beach Rd,103.86501584807765,1.3032136089394,1429,103109015
28,Opp The Gateway,Beach Rd,103.85864518302436,1.29919826103807,1511,103087011
29,The Gateway,Beach Rd,103.8589102973441,1.29907492488417,1519,103087011
30,Opp Plaza Parkroyal,Beach Rd,103.86066098182194,1.30088304437602,1521,103086723
31,Plaza Parkroyal,Beach Rd,103.86044115259938,1.30041667676526,1529,103086474
32,Bugis Stn Exit D,Rochor Rd,103.85734583628746,1.29886465442254,1541,103072808
33,Opp Duo Residences,Ophir Rd,103.85873120467068,1.30069868861162,1549,103073088
34,Village Hotel Bugis,Ophir Rd,103.85752923961614,1.30168731070562,1559,103107192
35,Aft Raffles Hotel,Beach Rd,103.85533686181174,1.29527259171342,1611,103086130
36,Esplanade Stn Exit F,Beach Rd,103.85503809424232,1.29428694178246,1619,103086126
37,Opp Shaw Twrs,Beach Rd,103.85655611109846,1.29695888888745,1621,106002888
38,Shaw Twrs,Beach Rd,103.856894,1.297085,1629,103089526
39,Aft Beach Rd,Middle Rd,103.85580555528075,1.29693614589482,1631,103072690
40,Bef Beach Rd,Middle Rd,103.85557583297624,1.29738750001468,1639,103072690
41,Aft Esplanade Stn Exit D,Esplanade Dr,103.85464,1.290106,2029,103110646
42,Raffles Hotel,Bras Basah Rd,103.85402155505172,1.29452091230981,2049,103012116
43,The Float @ Marina Bay,Raffles Ave,103.8590339,1.289503056,2051,103012132
44,The Esplanade,Raffles Ave,103.85640388886262,1.2899638888957,2061,103048136
45,Promenade Stn/Pan Pacific,Raffles Blvd,103.8592061110504,1.29152694444975,2089,103100000
46,Marina Ctr Ter,Raffles Blvd,103.8614855838078,1.29147264805943,2099,103008544
47,Aft S'pore Flyer,Raffles Ave,103.86183148116277,1.28938483786533,2101,103003088
48,Esplanade Bridge,Esplanade Dr,103.85453419435228,1.29095592348389,2111,103110646
49,Opp War Memorial Pk,Nicoll Highway,103.85534334305083,1.29184407356581,2119,104003154
50,Suntec Twr Two,Temasek Blvd,103.85933814632858,1.29576571603037,2141,103110840
51,Suntec Twr Three,Temasek Blvd,103.85955533029184,1.29560459817725,2149,103108556
52,Suntec Convention Ctr,Temasek Blvd,103.85784623004032,1.29317776320814,2151,103004687
53,Opp Suntec Convention Ctr,Temasek Blvd,103.85840672828635,1.29360811227161,2159,103012095
54,Aft Promenade Stn Exit C,Temasek Ave,103.86093156188176,1.29268553508737,2161,103093303
55,Promenade Stn Exit B,Temasek Ave,103.86070849052751,1.29333836780589,2169,103008015
56,Opp The Ritz-Carlton,Temasek Ave,103.86092194446034,1.29070000003898,2171,103013846
57,Supreme Ct,Parliament Pl,103.85098166700016,1.28947444402148,2181,103072176
58,Fullerton Sq,Fullerton Rd,103.85342223246428,1.28561840945474,3011,103077706
59,OUE Bayfront,Collyer Quay,103.853108055996,1.284245000013,3019,103086494
60,Prudential Twr,Cecil St,103.84998903789258,1.28255524603003,3021,104006392
61,Raffles Pl Stn Exit F,Robinson Rd,103.85086074925066,1.28207492207952,3031,103006228
62,Telok Ayer Stn Exit A,Cross St,103.84893207391676,1.28179509394707,3041,103082352
63,One Raffles Quay,Raffles Quay,103.851461,1.281111,3059,103079084
64,80 Robinson Rd,Robinson Rd,103.8494003042448,1.27990609626764,3071,103074240
65,Aft Capital Twr,Robinson Rd,103.8481011719729,1.2778259536079,3111,103079200
66,UIC Bldg,Shenton Way,103.84956718123824,1.27807003532092,3129,103076192
67,Opp GB Bldg,Cecil St,103.84776234627124,1.27892124625262,3151,103006744
68,Opp AXA Twr,Shenton Way,103.8479443674916,1.27552218897645,3217,103072544
69,Opp MAS Bldg,Shenton Way,103.84687388890411,1.2740788888387,3218,103075504
70,Hub Synergy Pt,Anson Rd,103.84489562922414,1.27397836925637,3222,103086652
71,Tanjong Pagar Stn Exit C,Anson Rd,103.84632468221952,1.2757033952327,3223,103089012
72,Shenton Way Ter,Shenton Way,103.84756721372408,1.27464226961973,3239,103057064
73,Mapletree Anson,Anson Rd,103.84537,1.27456,3241,103080896
74,Bef Marina Gdns Dr,Marina Blvd,103.86076808024792,1.27663307202767,3331,113000692
75,Aft Marina Gdns Dr,Central Blvd,103.85950016250489,1.27498516412784,3339,113000728
76,Bef Gdns by the Bay,Marina Gdns Dr,103.8643376844082,1.27959780011944,3341,110007291
77,Aft Gdns by the Bay,Marina Gdns Dr,103.8647780795552,1.27965600609923,3349,110007291
78,GARDENS BY THE BAY STN EXIT 2,Marina Gdns Dr,103.868895,1.279917,3361,110007306
79,GARDENS BY THE BAY STN EXIT 1,Marina Gdns Dr,103.8698744774074,1.27960772061959,3369,110007310
80,Gdns by the Bay,Marina Gdns Dr,103.86626955523418,1.28066479303461,3371,110007298
81,The Sail,Marina Blvd,103.85306513725683,1.28162601329006,3381,107000852
82,Marina Bay Financial Ctr,Marina Blvd,103.85498006767988,1.28037660340352,3391,107000844
83,Opp Marina Sth Pier Stn,Marina Coastal Dr,103.86300900488229,1.27159299884076,3411,110007255
84,Marina Sth Pier Stn,Marina Coastal Dr,103.86297693157816,1.27127698470973,3419,110007255
85,Marina Bay Cruise Ctr,Marina Coastal Dr,103.85964778134668,1.26694090294712,3421,110007256
86,Marina Bay Sands Theatre,Bayfront Ave,103.8606110538643,1.28500467671367,3501,109002806
87,Bayfront Stn Exit B/MBS,Bayfront Ave,103.86004388891767,1.28314999997332,3509,109002810
88,Aft Bayfront Stn Exit E,Bayfront Ave,103.85897064872482,1.28194779470571,3511,109002795
89,Bayfront Stn Exit A,Bayfront Ave,103.85884799997385,1.28124500000125,3519,109002794
90,Downtown Stn Exit E,Central Blvd,103.85278769921705,1.27939957419063,3529,109001084
91,Marina Bay Stn,Central Blvd,103.85561610012866,1.2775330547661,3539,113000788
92,Shenton Way Stn Exit 3,Park Street,103.85045,1.277728,3549,116000447
93,Opp Downtown Stn,Straits view,103.852918,1.278832,3579,109001084
94,OPP BENCOOLEN STN EXIT B,Bencoolen St,103.84975607305785,1.29807216909408,4019,104006308
95,BEF BENCOOLEN STN EXIT A,Bencoolen St,103.8509266670124,1.29948166696821,4029,103087412
96,Capitol Bldg,Stamford Rd,103.85139096636622,1.29395444170081,4111,103077404
97,SMU,Stamford Rd,103.84958029974612,1.29618544092334,4121,107000040
98,Armenian Ch,Hill St,103.84965994500728,1.2930982644668,4142,103057095
99,Stamford Ct,Hill St,103.85020606905503,1.29411640848293,4143,103077411
100,Grand Pk City Hall,Hill St,103.84983741344308,1.29276132399953,4149,103057095
101,Cath Of The Good Shepherd,Victoria St,103.8511397219812,1.29533777799211,4151,103104031
102,Aft Chijmes,Victoria St,103.85108138663934,1.29489484954945,4159,103104031
103,City Hall Stn Exit B,Nth Bridge Rd,103.85145315468638,1.29250006522444,4167,103004744
104,Aft City Hall Stn Exit B,Nth Bridge Rd,103.85125994680256,1.29208221483052,4168,103054612
105,Aft Bras Basah Stn Exit A,Bras Basah Rd,103.85147164487202,1.29647916306741,4179,103004424
106,Clarke Quay,River Valley Rd,103.84712444398056,1.29043611099357,4211,103077643
107,Opp Clarke Quay,River Valley Rd,103.84686777836988,1.29096802754795,4219,103073234
108,Clarke Quay Stn Exit E,Eu Tong Sen St,103.84708976365567,1.28898962180798,4222,103055892
109,Old Hill St Police Stn,Hill St,103.84857901022669,1.29084476137495,4223,103091742
110,High St Ctr,Hill St,103.84875123545264,1.29044830830726,4229,103091742
111,Opp Clarke Quay Stn,New Bridge Rd,103.8474938118651,1.28882717929599,4239,103076116
112,Opp The Treasury,Nth Bridge Rd,103.850262165082,1.29043039362749,4249,103105284
113,Opp High St Ctr,Nth Boat Quay,103.84888472198024,1.28973833297563,4251,103090272
114,Aft River Valley Rd,Clemenceau Ave,103.8439214229312,1.29464575337351,4311,103087483
115,UE Sq,Clemenceau Ave,103.8430364619106,1.2921400077773,4321,103073410
116,Opp UE Sq,Clemenceau Ave,103.84328384973516,1.29197057108024,4329,103073410
117,BEF FORT CANNING STN,River Valley Rd,103.84504089382705,1.29183939431601,4331,103077650
118,FORT CANNING STN EXIT B,River Valley Rd,103.8450050000296,1.29221099996741,4339,103077650
119,Bef Pearl'S Hill Terr,Eu Tong Sen St,103.840877221995,1.28154583300728,5012,103075540
120,Chinatown Stn Exit C,Eu Tong Sen St,103.84299874303984,1.28406979945936,5013,103067680
