,WeekendTapIn,YearMonth,WeekendTapOut,WeekdayTapOut,TrainStationCode,WeekdayTapIn
0,25791,2024-03,29162,69931,BP10,68069
1,30389,2024-03,23934,60865,BP11,81112
2,23199,2024-03,14067,46384,BP12,68167
3,11592,2024-03,6494,17753,BP13,28451
4,25814,2024-03,20953,50485,BP2,67094
5,38335,2024-03,32314,79703,BP3,96395
6,15482,2024-03,14380,59730,BP4,61251
7,18380,2024-03,16259,38512,BP5,44377
8,5177,2024-03,8536,24435,BP7,22339
9,13183,2024-03,13431,38567,BP8,39175
10,20795,2024-03,17631,43544,BP9,44144
11,118323,2024-03,120570,436436,CC11,420784
12,56010,2024-03,52134,139251,CC12,155296
13,56945,2024-03,55691,167019,CC14,174165
14,59957,2024-03,59529,174834,CC16,181731
15,50011,2024-03,52674,139880,CC2,129221
16,47419,2024-03,48494,116316,CC20,113163
17,99572,2024-03,100444,210935,CC21,199529
18,39465,2024-03,39450,367343,CC23,371223
19,81750,2024-03,79607,509989,CC24,524253
20,49499,2024-03,45777,137997,CC25,146267
21,28569,2024-03,28776,109571,CC26,113092
22,22505,2024-03,24187,158601,CC27,153648
23,26067,2024-03,28033,61431,CC28,52917
24,115164,2024-03,109189,153994,CC3,166344
25,53557,2024-03,50026,101375,CC5,101833
26,267504,2024-03,277832,325602,CC6,313280
27,74989,2024-03,71311,160370,CC7,158252
28,85390,2024-03,81735,186975,CC8,201804
29,268092,2024-03,255079,395543,CG2,423562
30,113874,2024-03,119842,232687,DT13,226329
31,46763,2024-03,50362,469150,DT17,447805
32,53027,2024-03,61995,375304,DT18,351810
33,19897,2024-03,15011,57090,DT2,67369
34,52570,2024-03,60362,137695,DT20,123797
35,70712,2024-03,72218,171487,DT21,169629
36,122371,2024-03,129807,195512,DT22,182570
37,32748,2024-03,34518,112014,DT23,108671
38,42549,2024-03,42433,114422,DT24,119666
39,37994,2024-03,38238,104233,DT25,100057
40,69430,2024-03,69549,198541,DT27,200758
41,90529,2024-03,88384,234472,DT28,244533
42,61507,2024-03,57119,151393,DT29,166662
43,72930,2024-03,64837,150349,DT3,167650
44,67654,2024-03,65163,168755,DT30,178065
45,69796,2024-03,72228,186252,DT31,176723
46,139585,2024-03,128729,361800,DT33,394261
47,38485,2024-03,38218,109037,DT34,120584
48,146129,2024-03,140953,283213,DT5,280343
49,54721,2024-03,51136,139561,DT6,156083
50,31649,2024-03,35382,101035,DT7,85857
51,30038,2024-03,31250,110744,DT8,115523
52,260099,2024-03,251101,584115,EW1,612605
53,144718,2024-03,143087,251121,EW10,251011
54,177737,2024-03,187306,395843,EW11,378010
55,179409,2024-03,188276,880691,EW15,847777
56,215949,2024-03,227664,540174,EW17,515830
57,143503,2024-03,148842,403496,EW18,389508
58,139548,2024-03,136284,333639,EW19,361118
59,104833,2024-03,105682,281305,EW20,281422
60,48719,2024-03,52383,188782,EW22,182621
61,406776,2024-03,416949,997978,EW23,952632
62,96308,2024-03,96609,206331,EW25,224633
63,297683,2024-03,268016,643058,EW26,724199
64,417040,2024-03,470885,1089436,EW27,930036
65,255078,2024-03,210308,503547,EW28,652425
66,112635,2024-03,120567,355900,EW29,346026
67,153049,2024-03,156820,367817,EW3,357972
68,27722,2024-03,24463,83941,EW30,95256
69,36482,2024-03,29974,94703,EW31,106207
70,44299,2024-03,46301,104374,EW32,107913
71,45293,2024-03,36907,91741,EW33,97923
72,142810,2024-03,134609,308705,EW4,337269
73,311964,2024-03,318043,673615,EW5,672327
74,102122,2024-03,111819,259403,EW6,224622
75,143104,2024-03,160143,354699,EW7,310767
76,237851,2024-03,243605,462475,EW9,459618
77,135055,2024-03,132231,341362,NE10,339739
78,120743,2024-03,121389,284338,NE11,277365
79,219684,2024-03,216979,455176,NE13,450766
80,277056,2024-03,266660,630521,NE14,651658
81,187726,2024-03,187492,424080,NE15,428088
82,118143,2024-03,129841,304024,NE5,286191
83,368233,2024-03,388230,573744,NE8,524985
84,202682,2024-03,179051,441168,NE9,491620
85,355040,2024-03,328924,801216,NS10,893720
86,365132,2024-03,365110,832726,NS11,825229
87,153500,2024-03,143966,312875,NS12,342620
88,478782,2024-03,495469,1151040,NS13,1086141
89,292877,2024-03,262410,636033,NS14,712626
90,121929,2024-03,109313,379349,NS15,416055
91,390874,2024-03,420507,985186,NS16,897359
92,125381,2024-03,118298,280762,NS18,308970
93,322773,2024-03,334450,771262,NS19,738890
94,235555,2024-03,246106,596967,NS2,568942
95,287248,2024-03,282041,806069,NS20,815989
96,336537,2024-03,347402,640900,NS23,607913
97,35317,2024-03,33325,38408,NS28,39948
98,180647,2024-03,178901,404652,NS3,424334
99,249605,2024-03,247501,597155,NS5,629313
100,313165,2024-03,258838,502770,NS7,529842
101,180544,2024-03,148252,364893,NS8,456308
102,32458,2024-03,32220,71628,PE1,72934
103,47140,2024-03,45601,107992,PE2,113803
104,54751,2024-03,56089,125416,PE3,120045
105,17309,2024-03,17112,32004,PE4,34829
106,48395,2024-03,43917,109113,PE5,121452
107,63384,2024-03,60265,135999,PE6,139799
108,43514,2024-03,41606,95502,PE7,96089
109,20090,2024-03,24933,34525,PW1,27165
110,16805,2024-03,15971,31180,PW3,34715
111,55322,2024-03,52901,95835,PW4,99465
112,37386,2024-03,38203,62552,PW5,58941
113,14055,2024-03,11701,28843,PW6,34419
114,25586,2024-03,27861,63218,PW7,57086
115,36872,2024-03,36606,89960,SE1,90717
116,50168,2024-03,48339,106022,SE2,112725
117,26941,2024-03,26598,61944,SE3,65079
118,32833,2024-03,31790,68898,SE4,70021
119,23515,2024-03,23350,56998,SE5,57271
120,20136,2024-03,20001,60048,SW1,58762
121,45760,2024-03,42222,79390,SW2,85153
122,19700,2024-03,18973,47084,SW3,50227
123,24603,2024-03,24242,53508,SW4,54398
124,75610,2024-03,73400,152022,SW5,162923
125,31499,2024-03,29439,76499,SW6,82004
126,23364,2024-03,21462,49361,SW7,54394
127,17948,2024-03,17102,44217,SW8,44846
128,34139,2024-03,29686,78055,TE1,95261
129,33085,2024-03,31013,92674,TE12,91489
130,29210,2024-03,30642,74001,TE13,69722
131,68159,2024-03,71342,151510,TE15,140556
132,65125,2024-03,62317,128279,TE16,133916
133,88419,2024-03,81800,160878,TE18,168020
134,25134,2024-03,23988,189717,TE19,187049
135,43464,2024-03,63924,68668,TE22,43349
136,72169,2024-03,65821,200005,TE3,218675
137,43453,2024-03,40199,93708,TE4,97971
138,38346,2024-03,38640,91048,TE5,90006
139,87359,2024-03,85391,199602,TE6,211542
140,51136,2024-03,50397,128570,TE7,130011
141,98287,2024-03,89916,173264,TE8,177944
142,355888,2024-03,371500,882761,BP6,839472
143,355888,2024-03,371500,882761,DT1,839472
144,130416,2024-03,123003,327232,CC10,349900
145,130416,2024-03,123003,327232,DT26,349900
146,46120,2024-03,46281,147842,CC17,162064
147,46120,2024-03,46281,147842,TE9,162064
148,76545,2024-03,82329,141455,CC19,136262
149,76545,2024-03,82329,141455,DT9,136262
150,186074,2024-03,197746,434530,CC4,418503
151,186074,2024-03,197746,434530,DT15,418503
152,490255,2024-03,451361,625958,CE1,659104
153,490255,2024-03,451361,625958,DT16,659104
154,173429,2024-03,175945,329060,CG1,320677
155,173429,2024-03,175945,329060,DT35,320677
156,65008,2024-03,58557,152740,DT10,176439
157,65008,2024-03,58557,152740,TE11,176439
158,622694,2024-03,647218,1157664,EW12,1117323
159,622694,2024-03,647218,1157664,DT14,1117323
160,191212,2024-03,202336,1242685,EW14,1249805
161,191212,2024-03,202336,1242685,NS26,1249805
162,203248,2024-03,194604,688000,EW16,720774
163,203248,2024-03,194604,688000,NE3,720774
164,203248,2024-03,194604,688000,TE17,720774
165,488152,2024-03,486291,1101409,EW2,1069468
166,488152,2024-03,486291,1101409,DT32,1069468
167,185167,2024-03,172025,547566,EW21,590501
168,185167,2024-03,172025,547566,CC22,590501
169,666548,2024-03,650311,1381420,EW24,1378703
170,666548,2024-03,650311,1381420,NS1,1378703
171,567790,2024-03,586995,994805,EW8,953855
172,567790,2024-03,586995,994805,CC9,953855
173,532032,2024-03,522123,937868,NE1,935586
174,532032,2024-03,522123,937868,CC29,935586
175,553780,2024-03,564817,1190092,NE12,1157276
176,553780,2024-03,564817,1190092,CC13,1157276
177,390937,2024-03,397730,901475,NE16,876546
178,390937,2024-03,397730,901475,STC,876546
179,415142,2024-03,403289,828742,NE17,853172
180,415142,2024-03,403289,828742,PTC,853172
181,525128,2024-03,526286,981459,NE4,991619
