,Unnamed: 0,Name,MRTLine,TrainStationCode,Latitude,Longitude
0,0,Jurong East,North-South Line ,NS1,1.33329506563598,103.742153884191
1,1,Bukit Batok,North-South Line ,NS2,1.34903331201636,103.749566478309
2,2,Bukit Gombak,North-South Line ,NS3,1.35861159094192,103.751790910733
3,3,Choa Chu Kang,North-South Line ,NS4,1.38536316540225,103.744370779756
4,4,Yew Tee,North-South Line ,NS5,1.39729771118639,103.74735767326
5,5,Kranji,North-South Line ,NS7,1.4250690629411,103.762099449562
6,6,Marsiling,North-South Line ,NS8,1.43262603485889,103.774051197031
7,7,Woodlands,North-South Line ,NS9,1.43681962961519,103.786066799253
8,8,Admiralty,North-South Line ,NS10,1.44058856161847,103.800990519771
9,9,Sembawang,North-South Line ,NS11,1.44902668521092,103.820139486468
10,10,Canberra,North-South Line ,NS12,1.44307664075699,103.829702590959
11,11,Yishun,North-South Line ,NS13,1.42952522867762,103.834995141847
12,12,Khatib,North-South Line ,NS14,1.41758906054002,103.833061043125
13,13,Yio Chu Kang,North-South Line ,NS15,1.38149882492597,103.845170704861
14,14,Ang Mo Kio,North-South Line ,NS16,1.36993284962264,103.849558091776
15,15,Bishan,North-South Line ,NS17,1.35101889777844,103.850057208608
16,16,Braddell,North-South Line ,NS18,1.34010520696434,103.846755921048
17,17,Toa Payoh,North-South Line ,NS19,1.3326840912586,103.847608851178
18,18,Novena,North-South Line ,NS20,1.32021100706836,103.843656761867
19,19,Newton,North-South Line ,NS21,1.31260208570591,103.838149921649
20,20,Orchard,North-South Line ,NS22,1.30242224836722,103.823868523249
21,21,Somerset,North-South Line ,NS23,1.30018113242454,103.839311084296
22,22,Dhoby Ghaut,North-South Line ,NS24,1.29868872290409,103.846179896647
23,23,City Hall,North-South Line ,NS25,1.29298990700923,103.852542630339
24,24,Raffles Place,North-South Line ,NS26,1.28393326207164,103.851463066756
25,25,Marina Bay,North-South Line ,NS27,1.27642735476716,103.854597776754
26,26,Marina South Pier,North-South Line ,NS28,1.27102703612006,103.862447515736
27,27,Pasir Ris,East-West Line,EW1,1.37300805046319,103.949265083922
28,28,Tampines,East-West Line,EW2,1.35619148271544,103.9546344625
29,29,Simei,East-West Line,EW3,1.34317949620659,103.953309510101
30,30,Tanah Merah,East-West Line,EW4,1.32731098211445,103.946451703007
31,31,Bedok,East-West Line,EW5,1.32397996868158,103.929984495066
32,32,Kembangan,East-West Line,EW6,1.32104702761608,103.91292554527
33,33,Eunos,East-West Line,EW7,1.31976065808207,103.903047958324
34,34,Paya Lebar,East-West Line,EW8,1.31810656871073,103.893158734867
35,35,Aljunied,East-West Line,EW9,1.3164326118157,103.882906044385
36,36,Kallang,East-West Line,EW10,1.31148890998818,103.871386541754
37,37,Lavender,East-West Line,EW11,1.30750657093807,103.86293845244
38,38,Bugis,East-West Line,EW12,1.30026468984101,103.855614760658
39,39,City Hall,East-West Line,EW13,1.29298990700923,103.852542630339
40,40,Raffles Place,East-West Line,EW14,1.28393326207164,103.851463066756
41,41,Tanjong Pagar,East-West Line,EW15,1.27660857408421,103.846006679223
42,42,Outram Park,East-West Line,EW16,1.27973970679335,103.839513521005
43,43,Tiong Bahru,East-West Line,EW17,1.28610253588403,103.827445112691
44,44,Redhill,East-West Line,EW18,1.28934817825579,103.817043991803
45,45,Queenstown,East-West Line,EW19,1.29419362236417,103.806100814457
46,46,Commonwealth,East-West Line,EW20,1.30250199924325,103.798228523336
47,47,Buona Vista,East-West Line,EW21,1.30627534823257,103.790363200126
48,48,Dover,East-West Line,EW22,1.31139153717332,103.778656381761
49,49,Clementi,East-West Line,EW23,1.31511625277378,103.765191452888
50,50,Jurong East,East-West Line,EW24,1.33329506563598,103.742153884191
51,51,Chinese Garden,East-West Line,EW25,1.34235282081401,103.732596738363
52,52,Lakeside,East-West Line,EW26,1.34410477510373,103.720301861904
53,53,Boon Lay,East-West Line,EW27,1.33860405469845,103.706064622772
54,54,Pioneer,East-West Line,EW28,1.33756383090029,103.697631494536
55,55,Joo Koon,East-West Line,EW29,1.32769436492908,103.678085068438
56,56,Gul Circle,East-West Line,EW30,1.31947090075208,103.660530461345
57,57,Tuas Crescent,East-West Line,EW31,1.32102695598684,103.649078235627
58,58,Tuas West Road,East-West Line,EW32,1.32998504653102,103.639616648771
59,59,Tuas Link,East-West Line,EW33,1.34088242451105,103.636991425128
60,60,Expo,Changi Airport Branch Line,CG1,1.33454977824817,103.961548211018
61,61,Changi Airport,Changi Airport Branch Line,CG2,1.35747897447692,103.98788356959
62,62,HarbourFront,North East Line,NE1,1.26531139858465,103.820557316696
63,63,Outram Park,North East Line,NE3,1.27973970679335,103.839513521005
64,64,Chinatown,North East Line,NE4,1.28422391919085,103.845143798953
65,65,Clarke Quay,North East Line,NE5,1.28745211415803,103.846119192727
66,66,Dhoby Ghaut,North East Line,NE6,1.29868872290409,103.846179896647
67,67,Little India,North East Line,NE7,1.30724381608438,103.849841614124
68,68,Farrer Park,North East Line,NE8,1.31314029963164,103.854754721344
69,69,Boon Keng,North East Line,NE9,1.31993957653291,103.862052698446
70,70,Potong Pasir,North East Line,NE10,1.3318797140041,103.869057877586
71,71,Woodleigh,North East Line,NE11,1.33982824592182,103.87096088798
72,72,Serangoon,North East Line,NE12,1.35063361526525,103.872771660431
73,73,Kovan,North East Line,NE13,1.35990191952976,103.884494725197
74,74,Hougang,North East Line,NE14,1.37033472429161,103.892261757937
75,75,Buangkok,North East Line,NE15,1.38369417199994,103.893049981318
76,76,Sengkang,North East Line,NE16,1.39174613283898,103.895508171163
77,77,Punggol,North East Line,NE17,1.40512956754102,103.902369773585
78,78,Dhoby Ghaut,Circle Line,CC1,1.29868872290409,103.846179896647
79,79,Bras Basah,Circle Line,CC2,1.29686168649656,103.850667371637
80,80,Esplanade,Circle Line,CC3,1.29133990707454,103.854609475029
81,81,Promenade,Circle Line,CC4,1.29307389602149,103.861067235865
82,82,Nicoll Highway,Circle Line,CC5,1.29956843029404,103.863977721184
83,83,Stadium,Circle Line,CC6,1.3028124684707,103.875337711089
84,84,Mountbatten,Circle Line,CC7,1.30615406128913,103.883045148696
85,85,Dakota,Circle Line,CC8,1.30843144331463,103.889268208422
86,86,Paya Lebar,Circle Line,CC9,1.31810656871073,103.893158734867
87,87,MacPherson,Circle Line,CC10,1.32583875798262,103.890312834364
88,88,Tai Seng,Circle Line,CC11,1.33533999302463,103.888265446029
89,89,Bartley,Circle Line,CC12,1.3424454382925,103.880197087117
90,90,Serangoon,Circle Line,CC13,1.35063361526525,103.872771660431
91,91,Lorong Chuan,Circle Line,CC14,1.35153128621585,103.864812169514
92,92,Bishan,Circle Line,CC15,1.35101889777844,103.850057208608
93,93,Marymount,Circle Line,CC16,1.348707263451,103.839423132332
94,94,Caldecott,Circle Line,CC17,1.33734722320212,103.839544077561
95,95,Botanic Gardens,Circle Line,CC19,1.32238699517166,103.815385463093
96,96,Farrer Road,Circle Line,CC20,1.31743915158967,103.807379214161
97,97,Holland Village,Circle Line,CC21,1.31226422601049,103.796470444998
98,98,Buona Vista,Circle Line,CC22,1.30627534823257,103.790363200126
99,99,one-north,Circle Line,CC23,1.29968953488969,103.787412789536
100,100,Kent Ridge,Circle Line,CC24,1.29353349887123,103.784572738173
101,101,Haw Par Villa,Circle Line,CC25,1.28195688684898,103.781988990137
102,102,Pasir Panjang,Circle Line,CC26,1.27621352233766,103.791350313288
103,103,Labrador Park,Circle Line,CC27,1.27236838626952,103.803416232089
104,104,Telok Blangah,Circle Line,CC28,1.27070647772509,103.809761611219
105,105,HarbourFront,Circle Line,CC29,1.26531139858465,103.820557316696
106,106,Bayfront,Circle Line Extension,CE1,1.28187378879209,103.859079764874
107,107,Marina Bay,Circle Line Extension,CE2,1.27642735476716,103.854597776754
108,108,Bukit Panjang,Downtown Line,DT1,1.37956121236613,103.761188866252
109,109,Cashew,Downtown Line,DT2,1.36984601365741,103.764315051619
110,110,Hillview,Downtown Line,DT3,1.36288845715168,103.767780907707
111,111,Beauty World,Downtown Line,DT5,1.34090149001429,103.775746717778
112,112,King Albert Park,Downtown Line,DT6,1.335893496278,103.783235863233
113,113,Sixth Avenue,Downtown Line,DT7,1.33085764536226,103.796906838288
114,114,Tan Kah Kee,Downtown Line,DT8,1.32639224146351,103.806548201692
115,115,Botanic Gardens,Downtown Line,DT9,1.32238699517166,103.815385463093
116,116,Stevens,Downtown Line,DT10,1.32006555750626,103.826024401924
117,117,Newton,Downtown Line,DT11,1.31260208570591,103.838149921649
118,118,Little India,Downtown Line,DT12,1.30724381608438,103.849841614124
119,119,Rochor,Downtown Line,DT13,1.30385218555028,103.852769429428
120,120,Bugis,Downtown Line,DT14,1.30026468984101,103.855614760658
121,121,Promenade,Downtown Line,DT15,1.29307389602149,103.861067235865
122,122,Bayfront,Downtown Line,DT16,1.28187378879209,103.859079764874
123,123,Downtown,Downtown Line,DT17,1.27944638178916,103.852840829581
124,124,Telok Ayer,Downtown Line,DT18,1.28206894769394,103.848648781083
125,125,Chinatown,Downtown Line,DT19,1.28422391919085,103.845143798953
126,126,Fort Canning,Downtown Line,DT20,1.29248194822996,103.844331362465
127,127,Bencoolen,Downtown Line,DT21,1.29891843369422,103.850353762717
128,128,Jalan Besar,Downtown Line,DT22,1.3051713878069,103.855295713435
129,129,Bendemeer,Downtown Line,DT23,1.31367252847691,103.862977620945
130,130,Geylang Bahru,Downtown Line,DT24,1.32130110228321,103.871622627142
131,131,Mattar,Downtown Line,DT25,1.32687671501334,103.883247509542
132,132,MacPherson,Downtown Line,DT26,1.32583875798262,103.890312834364
133,133,Ubi,Downtown Line,DT27,1.3298832504798,103.899082581327
134,134,Kaki Bukit,Downtown Line,DT28,1.33496735995428,103.908459338046
135,135,Bedok North,Downtown Line,DT29,1.33474211664091,103.91797832995
136,136,Bedok Reservoir,Downtown Line,DT30,1.33660782955099,103.932234623286
137,137,Tampines West,Downtown Line,DT31,1.3456336579777,103.938492495285
138,138,Tampines,Downtown Line,DT32,1.35619148271544,103.9546344625
139,139,Tampines East,Downtown Line,DT33,1.35619148271544,103.9546344625
140,140,Upper Changi,Downtown Line,DT34,1.34173977444995,103.961472788634
141,141,Expo,Downtown Line,DT35,1.33454977824817,103.961548211018
142,142,Choa Chu Kang,Bukit Panjang LRT,BP1,1.38536316540225,103.744370779756
143,143,South View,Bukit Panjang LRT,BP2,1.38029828742399,103.745291799824
144,144,Keat Hong,Bukit Panjang LRT,BP3,1.3786032506373,103.749055668925
145,145,Teck Whye,Bukit Panjang LRT,BP4,1.37668467920808,103.753712232337
146,146,Phoenix,Bukit Panjang LRT,BP5,1.37861545104083,103.757995558346
147,147,Bukit Panjang,Bukit Panjang LRT,BP6,1.37956121236613,103.761188866252
148,148,Petir,Bukit Panjang LRT,BP7,1.37777204259082,103.766645782497
149,149,Pending,Bukit Panjang LRT,BP8,1.37613574334988,103.771261175571
