,TaxiCode,Longitude,Ownership,Name,Bfa,Latitude,Type,LinkID
0,A01,103.8338467,LTA,Orchard Rd along driveway of Lucky Plaza,Yes,1.304294727,Stand,103054672
1,A05,103.835547,Private,Mt Elizabeth Rd at Mt Elizabeth Hospital,Yes,1.304571786,Stand,103008130
2,A06,103.8376729,LTA,Cairnhill Rd at Cairnhill Nine,Yes,1.303519805,Stop,103060824
3,A08,103.8327402,Private,Orchard Turn at Wisma Atria Shopping Centre,Yes,1.303709915,Stand,103093602
4,A12,103.8405818,Private,Cuppage Rd at Starhub Centre,Yes,1.302879021,Stop,103000988
5,A13,103.8422631,LTA,Kramat Lane outside Concorde Hotel & Shopping Mall,No,1.300918488,Stand,116001168
6,A14,103.8409503,Private,Cavenagh Rd at Holiday Inn Singapore Orchard City Centre,Yes,1.302600342,Stop,103000988
7,A16,103.8452133,Private,Handy Rd at Plaza Singapura,Yes,1.300514561,Stand,108000987
8,A17,103.8473265,CCS,Handy Rd near Cathay Building,Yes,1.299321982,Stand,103003582
9,A18,103.8448645,Private,Penang Rd at driveway of 9 Penang Rd,Yes,1.298096109,Stand,108000620
10,A19,103.8439415,CCS,Clemenceau Ave in front of Haw Par Glass Centre,Yes,1.296991268,Stand,103068259
11,A22,103.8395453,Private,Somerset Rd at Orchardgateway,Yes,1.300360761,Stand,103062368
12,A23,103.8371289,Private,Devonshire Rd outside TripleOne Somerset,Yes,1.299953217,Stand,103000432
13,B02,103.8496715,CCS,Selegie Rd in front of Parklane Shopping Mall,Yes,1.300574856,Stand,103077672
14,B03,103.85095,LTA,Short St near La Salle Arts College,Yes,1.302957817,Stand,108001736
15,B04,103.8523716,LTA,Bencoolen St outside Summerview Hotel,Yes,1.30152,Stop,103086164
16,B06,103.8490929,Private,Bencoolen St at SMU School of Econ & Social Sciences,Yes,1.297702738,Stop,103088368
17,B07,103.8493444,Private,Bencoolen St at SMU School of Information Systems,Yes,1.297537879,Stop,103088368
18,B08,103.8504108,Private,Queen St at SMU Li Ka Shing Library,Yes,1.296189886,Stand,103050408
19,B09,103.8521884,LTA,Queen St at China Cultural Centre,Yes,1.298087188,Stand,103092194
20,B10,103.8526465,CCS,Waterloo St at Stamford Arts Centre,Yes,1.299986059,Stand,103010779
21,B11,103.8554588,Private,North Bridge Rd along driveway of Bugis Junction Tower,Yes,1.298453493,Stand,103072752
22,B12,103.8563957,LTA,Tan Quee Lan St outside Bugis DTL Station,Yes,1.29894,Stand,103003156
23,B14,103.8554079,LTA,Purvis St outside Shop House No. 24,No,1.2962475,Stand,103004432
24,B17,103.850739,LTA,Bencoolen St at Masjid Bencoolen opp Bencoolen DTL Station (Ent A),Yes,1.299549334,Stand,103087412
25,B18,103.8555097,Private,Victoria St along driveway of Bugis Junction,Yes,1.299986346,Stand,103116902
26,C01,103.8459884,Private,River Valley Rd at Clarke Quay,Yes,1.291210939,Stand,103076230
27,C02,103.84526,CCS,River Valley Rd at Liang Court,Yes,1.291754372,Stand,103075526
28,C04,103.844965,LTA,Tan Tye Place at Clarke Quay,Yes,1.29075,Stand,103012710
29,C08,103.85036,Private,Coleman St along driveway outside Peninsula Excelsior Hotel,Yes,1.291985691,Stand,103086744
30,C12,103.8514997,Private,Coleman St at The Adelphi,Yes,1.291346056,Stop,103086580
31,C13,103.8514184,Private,North Bridge Rd outside Capitol Piazza,Yes,1.292852981,Stand,103054608
32,C14,103.8526911,Private,Stamford Rd along driveway of Raffles City,Yes,1.293521677,Stand,103083716
33,C15,103.8527548,Private,North Bridge Rd along driveway of Raffles City,Yes,1.294264086,Stand,103090284
34,C18,103.858684,Private,Temasek Blvd at Suntec Tower 1 & 2,Yes,1.295428554,Stand,103025456
35,C19,103.8595444,Private,Temasek Blvd at Suntec Tower 3 & 4,Yes,1.29494786,Stand,103008304
36,C20,103.859883,Private,Raffles Blvd at Millenia Walk,Yes,1.29157,Stand,103047036
37,C21,103.8605789,Private,Temasek Ave at Millenia Tower,Yes,1.292638277,Stand,103093303
38,C22,103.8583529,Private,Raffles Blvd along driveway of Marina Square,Yes,1.291408737,Stand,103048096
39,C24,103.8565807,Private,Raffles Ave at The Esplanade,Yes,1.289841322,Stand,103047028
40,C25,103.8567298,Private,Raffles Blvd at Suntec City Mall,Yes,1.292799093,Stand,103110092
41,C26,103.8460788,LTA,Percival Rd at round-about of Fort Canning Park,Yes,1.296323466,Stop,103011188
42,C27,103.8579088,Private,Temasek Blvd at Suntec Tower 5,Yes,1.293912465,Stand,103012095
43,C28,103.8442659,LTA,Clarke Quay outside Fort Canning DTL Station (towards River Valley) (Ent A),Yes,1.29242,Stand,103091763
44,C29,103.8447777,LTA,River Valley Rd outside Fort Canning DTL Station (towards Downtown) (Ent B),Yes,1.292509725,Stand,103091766
45,D01,103.840696,Private,Teo Hong Rd beside Dorsett Residences,Yes,1.280230061,Stand,103110192
46,D02,103.8418178,LTA,Neil Rd in front of Chinatown Plaza,Yes,1.27887,Stand,103070364
47,D04,103.8416742,LTA,Kreta Ayer Rd opposite Oriental Plaza,Yes,1.281778766,Stand,103006248
48,D05,103.8423153,Private,Park Cres outside People's Park Complex,Yes,1.283656238,Stand,103092135
49,D06,103.8431889,LTA,Upp Cross St outside OG Building,Yes,1.285392643,Stand,103066060
50,D07,103.8443717,LTA,Havelock Sq beside People's Park Centre,No,1.28617,Stop,103003660
51,D08,103.8447352,Private,New Bridge Rd along driveway of Chinatown Point,Yes,1.285481664,Stand,103055576
52,D09,103.8447597,Private,New Market Rd outside Ministry of Manpower,Yes,1.287418156,Stop,103111284
53,D10,103.84261,Private,Magazine Rd at Central Mall,Yes,1.289193914,Stand,109002037
54,D11,103.8441026,Private,Merchant Rd at Riverside Point,Yes,1.289224474,Stand,103076292
55,D13,103.8481398,Private,Upp Circular Rd at The Riverwalk,Yes,1.288958327,Stop,103110331
56,D14,103.8474801,LTA,Carpenter St Opposite Safra Town Club,No,1.288425892,Stand,103000859
57,D15,103.847022,LTA,North Canal Rd opposite Hong Lim Park,Yes,1.286978749,Stand,103079094
58,D16,103.8453397,LTA,South Bridge Rd outside Sri Mariamman Temple,Yes,1.282546178,Stand,103072680
